# number square cube
-1.000000000000000000e+01 1.000000000000000000e+02 -1.000000000000000000e+03
-9.000000000000000000e+00 8.100000000000000000e+01 -7.290000000000000000e+02
-8.000000000000000000e+00 6.400000000000000000e+01 -5.120000000000000000e+02
-7.000000000000000000e+00 4.900000000000000000e+01 -3.430000000000000000e+02
-6.000000000000000000e+00 3.600000000000000000e+01 -2.160000000000000000e+02
-5.000000000000000000e+00 2.500000000000000000e+01 -1.250000000000000000e+02
-4.000000000000000000e+00 1.600000000000000000e+01 -6.400000000000000000e+01
-3.000000000000000000e+00 9.000000000000000000e+00 -2.700000000000000000e+01
-2.000000000000000000e+00 4.000000000000000000e+00 -8.000000000000000000e+00
-1.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+00 4.000000000000000000e+00 8.000000000000000000e+00
3.000000000000000000e+00 9.000000000000000000e+00 2.700000000000000000e+01
4.000000000000000000e+00 1.600000000000000000e+01 6.400000000000000000e+01
5.000000000000000000e+00 2.500000000000000000e+01 1.250000000000000000e+02
6.000000000000000000e+00 3.600000000000000000e+01 2.160000000000000000e+02
7.000000000000000000e+00 4.900000000000000000e+01 3.430000000000000000e+02
8.000000000000000000e+00 6.400000000000000000e+01 5.120000000000000000e+02
9.000000000000000000e+00 8.100000000000000000e+01 7.290000000000000000e+02
1.000000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+03
